Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Abrahams,Eastleigh,CF,23,0,2023-06-30,13,1205,2,2.92,0,0.34,20.84,32.26,England,England,left,185,84,no,3.44,3.36,68.89,2.61,20,0.07,0.11,0.15,1.05,1.48,1.12,2,0.15,0,0,2.02,0.15,2,0.15,0.22,0,0,24,1.79,50,8.333,0,0.97,30.77,0.52,28.57,0.37,40,0.15,2.24,36.67,8.81,23.73,3.06,0.82,0.3,7.02,1.72,0.97,11.65,70.51,1.49,30,3.96,86.79,3.59,70.83,10.31,75.36,0.45,33.33,16.86,18.22,0.03,0.52,0,0,0.15,0,0.15,0.45,50,1.27,52.94,0.15,0,0.97,0.22,1.34,61.11,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,0,0
F. Amartey,Aldershot Town,"LWF, LW, CF",23,0,,8,264,0,1.16,0,0.12,27.27,38.75,England,England,,0,0,no,3.07,3.75,36.36,2.73,25,0.34,0.52,0,1.36,2.07,1.02,0,0,0,0,7.16,0,0,0,0.39,0,0,11,3.75,45.45,0,0,0.68,0,0.68,0,0,0,0,8.86,57.69,15.34,44.44,4.77,3.41,1.02,5.8,1.36,1.36,11.25,69.7,4.09,41.67,2.39,100,1.7,80,9.89,75.86,0.68,50,9.76,6.6,0.04,0.34,0,0,0.68,50,0,0.68,0,1.36,50,0.68,50,1.36,0,1.36,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Effiong,Aldershot Town,"CF, LWF",31,0,2024-06-30,13,1255,4,5.57,2,0.87,31.34,36.61,England,"England, Nigeria",right,193,85,no,2.58,2.08,48.28,10.18,45.77,0,0,0,1.58,1.85,1.22,0,0,0,0,3.16,0.29,2,0.14,0.4,1,0.07,32,2.29,53.13,12.5,0.14,0.65,22.22,0.5,28.57,0.14,0,0,2.73,63.16,10.33,31.94,3.23,1.58,0.57,6.38,1.43,1,13.84,65.8,3.44,45.83,3.59,86,3.73,61.54,12.55,69.14,0.72,50,15.34,15.08,0.06,0.57,0,0,0.22,33.33,0.43,2.37,51.52,1.15,43.75,0.43,33.33,0.57,0.07,1.36,84.21,0,,0,,0,0,0,0,,,0,,,0.07,0.07,0,0,2,100
O. Olomola,Wealdstone,"CF, LAMF",25,0,2023-06-30,9,714,2,3.14,0,1.33,20.67,33.54,England,"England, Nigeria",right,170,80,no,4.03,3.91,64.52,4.03,15.63,0.25,0.43,0.13,1.26,2.13,1.26,0,0,0,0,3.66,0.25,2,0.25,0.4,0,0,16,2.02,25,12.5,0,2.52,35,1.39,27.27,1.13,44.44,0.38,3.53,53.57,9.96,30.38,4.03,1.01,0.5,18.28,0.88,0.38,27.23,83.33,5.42,74.42,9.08,94.44,8.95,81.69,23.57,90.37,1.26,40,18.61,14.01,0.17,1.13,0,0,0.63,60,0.5,2.39,73.68,1.89,66.67,0.63,60,1.01,1.26,3.66,75.86,0,,0,,0,0,0,0,,,0.25,,,0.38,0.38,33.33,0.13,0,0
E. Dieseruvwe,Halifax Town,CF,27,0,2023-06-30,13,1065,4,4.03,0,0.94,35.58,35.87,England,"England, Nigeria",right,196,80,no,2.79,3.04,55.56,12.17,50,0,0,0.17,1.1,1.68,1.94,3,0.25,0,0,3.21,0.34,4,0.34,0.34,1,0.08,23,1.94,56.52,17.391,0,0.34,25,0.25,33.33,0.08,0,0,4.14,46.94,14.11,25.15,2.87,1.61,0.08,10.99,3.21,1.35,17.92,77.83,3.38,62.5,5.32,88.89,5.32,80.95,17.49,79.23,0.08,0,14.77,2.45,0.08,0.59,0,0,0.25,33.33,0.25,2.28,66.67,0.42,20,0.17,50,0.42,0,1.52,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0.08,0,0
R. Grego-Cox,Woking,CF,25,0,2023-06-30,11,900,6,4.61,1,0.58,26.9,33.46,England,"England, Republic of Ireland",right,178,74,no,4.2,4.5,57.78,10.7,25.23,0.3,0.46,0.2,1.3,2,1.4,2,0.2,0,0,3.1,0.6,4,0.4,0.46,0,0,22,2.2,50,27.273,0.1,1,30,0.2,50,0.8,25,0.2,2.9,58.62,7.5,34.67,2.6,0.8,0.6,8.9,1,0.6,17,74.71,4.4,52.27,2.7,92.59,6,76.67,14.7,82.99,1.3,15.38,17.01,27.43,0.06,1.1,0.1,0,0.3,0,0.5,2,45,2.2,50,0.4,0,1.4,0.4,2.7,74.07,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
E. Acquah,Maidenhead United,CF,22,0,2023-06-30,13,1008,3,2.94,0,0.55,35.54,30.4,England,England,right,186,71,no,4.2,3.84,58.14,10.63,32.77,0,0,0,1.96,2.52,1.34,2,0.18,0,0,1.7,0.27,3,0.27,0.26,1,0.09,16,1.43,43.75,18.75,0,0.09,0,0,0,0.09,0,0,1.7,52.63,11.7,21.37,2.05,0.8,0.09,5.54,1.07,0.8,12.41,76.98,3.04,52.94,3.13,85.71,2.41,96.3,12.23,77.37,0.09,100,12.53,4.33,0.05,0.71,0.09,0,0.27,66.67,0.27,1.52,64.71,0.36,50,0.27,66.67,0.63,0,1.34,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Clifton,Maidenhead United,"CF, AMF",33,0,2023-06-30,10,353,1,2.36,1,0.04,26.77,34.29,Montserrat,Montserrat,right,188,89,no,2.04,1.02,75,9.69,42.11,0,0,0,1.27,1.63,1.78,0,0,0,0,1.53,0.25,1,0.25,0.6,0,0,10,2.55,30,10,0.25,0.51,0,0.51,0,0,0,0,0.76,100,8.41,39.39,3.82,0.51,0.51,8.67,2.29,1.02,19.12,73.33,4.84,52.63,5.1,90,6.37,84,17.85,77.14,0.76,33.33,16.55,4.44,0.01,0.76,0,0,0,0,0.25,2.04,50,0.51,0,0,0,0,0,1.02,75,0,,0,,0,0,0,0,,,0.25,,,0,0,0,0,0,0
S. McCoulsky,Maidenhead United,CF,25,0,2023-06-30,9,320,1,1.08,0,0.09,27.56,30.61,England,England,right,183,70,no,3.94,4.22,60,9,28.13,0.28,0.34,0,1.13,1.38,1.97,0,0,0,0,1.69,0.28,1,0.28,0.3,0,0,8,2.25,37.5,12.5,0,0.84,33.33,0.28,100,0.56,0,0,1.69,33.33,5.91,14.29,2.25,0.84,0.28,8.16,2.25,0.28,9.56,76.47,1.69,33.33,4.22,80,1.69,83.33,8.72,80.65,0,0,12.27,0,0.03,0.28,0,0,0,0,0.28,0.28,0,1.13,25,0,0,0,0.28,0.28,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Blair,Dagenham & Redbridge,CF,22,0,2023-06-30,1,37,0,0,0,0.03,,,England,England,unknown,0,0,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
A. Hurst,York City,"CF, LW, LWF",23,0,2023-06-30,12,963,2,1.67,0,1.53,21.03,41.33,England,England,,0,0,no,4.67,3.08,72.73,2.9,19.35,0.28,0.46,0.19,2.15,3.56,0.65,2,0.19,0,0,6.64,0.19,2,0.19,0.16,0,0,16,1.5,18.75,12.5,0,4.86,48.08,3.64,51.28,1.21,38.46,0.65,6.82,58.9,12.15,40,3.55,3.64,0.75,11.03,1.21,0.56,20.65,76.02,4.49,79.17,6.07,89.23,6.26,68.66,15.05,86.34,0.93,50,18.48,13.52,0.14,1.59,0.09,0,0.09,0,0.75,0.47,80,3.27,60,0.09,0,0.28,2.15,3.83,82.93,0,,0,,0,0,0,0,,,0,,,0,0,0,0.19,0,0
L. John-Lewis,York City,CF,33,0,2023-06-30,13,1228,6,6.75,0,0.19,32.98,35.33,England,England,left,180,86,no,3.15,2.64,61.11,13.41,44.26,0.29,0.45,0,1.25,1.93,1.47,2,0.15,0,0,1.91,0.44,5,0.37,0.49,2,0.15,38,2.79,39.47,15.789,0,0.29,0,0.07,0,0.22,0,0.07,1.17,62.5,9.75,20.3,3.52,0.37,0.15,9.38,2.93,0.88,15.9,70.97,4.03,52.73,3.66,90,4.98,70.59,14.88,75.37,0.73,10,16.21,20.96,0.01,0.44,0,0,0.15,50,0.07,2.35,43.75,0.88,41.67,0.29,25,0.51,0,1.61,45.45,0,,0,,0,0,0,0,,,0.07,,,0,0,0,0,2,50
L. James,York City,"CF, LWF, LW",27,0,2024-06-30,4,183,0,0.21,0,0.35,21.64,20.45,England,England,right,183,80,no,3.93,4.92,50,5.41,18.18,0,0,0,1.48,2.2,0.49,0,0,0,0,2.95,0,0,0,0.1,0,0,2,0.98,50,0,0,1.48,100,1.48,100,0,0,0,3.93,12.5,5.9,16.67,1.48,0.98,0.49,9.34,2.95,0,13.77,100,3.93,100,2.95,100,4.43,100,11.8,100,0.49,100,19.71,16.25,0.17,0.49,0,0,0.49,100,0,0.98,100,1.97,100,0.49,100,0.49,1.48,3.93,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
P. McCallum,Dagenham & Redbridge,"CF, AMF",29,0,2023-06-30,14,1323,5,5.38,1,0.85,34.35,43.17,England,England,right,191,76,no,3.4,1.9,50,19.93,49.83,0.2,0.26,0.2,2.24,2.91,1.43,1,0.07,0,0,1.29,0.34,5,0.34,0.37,1,0.07,27,1.84,51.85,18.519,0.07,0.2,66.67,0.07,100,0.14,50,0,0.48,28.57,4.83,26.76,2.59,0.07,0,8.84,1.9,0.61,16.8,63.16,5.65,39.76,3.47,86.27,3.47,68.63,15.71,64.07,0.88,46.15,15.01,20.23,0.06,0.88,0,0,0.07,100,0.2,3.27,37.5,1.16,41.18,0.2,33.33,0.68,0.14,1.9,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0.07,1,0
J. Walker,Dagenham & Redbridge,"CF, LW, RWF",24,0,2023-06-30,12,687,4,4.81,0,0.64,28.56,36.7,England,England,,0,0,no,4.32,5.63,44.19,5.37,29.27,0.52,0.69,0,1.31,1.72,1.7,1,0.13,1,0.13,5.24,0.52,4,0.52,0.63,0,0,24,3.14,45.83,16.667,0,1.97,20,0.92,0,1.05,37.5,0.52,6.42,53.06,12.97,37.37,4.98,2.75,1.83,11.92,1.7,0.79,17.82,73.53,3.14,58.33,6.68,86.27,3.8,62.07,15.72,80.83,0.26,0,15.5,7.44,0.08,0.26,0.13,0,0.13,0,0.13,0.79,66.67,1.18,22.22,0.13,0,0.66,0.39,0.79,100,0,,0,,0,0,0,0,,,1.18,,,0,0,0,0,0,0
A. Yussuf,Gateshead,CF,30,0,2023-06-30,4,139,0,0.57,0,0.02,29.78,15.22,Tanzania,"Tanzania, England",left,185,76,no,2.59,2.59,25,3.88,0,0.65,0.94,0,1.29,1.88,3.24,0,0,0,0,1.29,0,0,0,0.37,0,0,4,2.59,25,0,0,1.29,0,0.65,0,0.65,0,0,1.94,33.33,16.19,12,3.24,0.65,0,5.83,1.94,0,15.54,75,1.29,50,3.24,80,6.47,70,14.24,81.82,0,0,12.16,0,0.01,0.65,0,0,0,0,0,0.65,0,1.29,50,0,0,0.65,0,1.29,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Fisher,Yeovil Town,CF,32,0,2024-06-30,12,726,1,2.2,1,1.17,30.87,34.14,England,England,right,191,80,no,3.6,3.1,52,16.86,36.76,0.25,0.31,0.12,1.74,2.19,0.74,1,0.12,0,0,1.86,0.12,1,0.12,0.27,0,0,17,2.11,41.18,5.882,0.12,1.12,22.22,0.25,50,0.87,14.29,0.12,0.74,100,6.2,24,2.73,0.5,0.25,11.16,2.23,0.62,22.19,73.18,5.33,44.19,6.57,94.34,5.21,73.81,20.08,77.16,0.99,50,17.69,21.75,0.15,0.74,0.12,0,0,0,0.25,2.73,50,1.49,50,0,0,0.62,0.25,1.49,75,0,,0,,0,0,0,0,,,0,,,0.25,0.25,0,0.12,0,0
J. Amaluzor,Aldershot Town,"RWF, CF, RW",25,0,2024-06-30,12,904,5,1.16,0,0.73,24.09,42.98,England,"England, Nigeria",left,183,79,no,5.48,5.28,58.49,2.49,36,0.4,0.46,0,1.99,2.32,0.9,2,0.2,0,0,4.68,0.5,5,0.5,0.12,0,0,23,2.29,39.13,21.739,0,1.99,30,0.5,20,1.49,33.33,0.2,5.67,50.88,13.44,38.52,1.49,2.09,0.9,9.56,1.39,1.59,15.73,53.8,6.97,47.14,1.89,89.47,3.88,48.72,12.05,63.64,1.89,15.79,21.35,28.82,0.07,0.4,0.1,0,0.4,75,0.4,2.89,31.03,3.38,32.35,0.8,37.5,0.6,0.6,3.88,53.85,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
W. Goodwin,Torquay United,CF,20,0,,13,1309,3,2.61,0,0.75,30.8,34.15,England,England,,0,0,yes,3.44,3.03,61.36,9.97,36.55,0.21,0.31,0.21,1.38,2.03,0.89,4,0.28,0,0,3.71,0.21,3,0.21,0.18,0,0,19,1.31,57.89,15.789,0,1.65,25,1.03,20,0.62,33.33,0.21,4.88,49.3,12.17,28.81,2.41,1.17,0.21,9.83,1.86,0.96,16.84,65.31,5.91,50,3.71,87.04,4.61,65.67,14.44,70.95,0.89,38.46,17.28,28.47,0.05,0.48,0,0.07,0.48,28.57,0.28,2.34,52.94,1.65,41.67,0.41,0,0.34,0.48,2.61,71.05,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Jarvis,Torquay United,CF,24,0,2024-06-30,7,492,1,1.66,0,0.09,32.2,34.09,England,England,right,188,80,no,2.2,1.28,57.14,15.18,33.73,0,0,0,1.46,2.24,2.2,1,0.18,0,0,1.46,0.18,1,0.18,0.3,0,0,11,2.01,36.36,9.091,0,0.91,20,0.37,50,0.55,0,0.18,1.46,37.5,8.41,32.61,4.21,0.37,0,10.61,2.38,1.28,14.63,66.25,2.56,50,4.94,85.19,3.84,57.14,13.17,69.44,0.55,66.67,14.41,5.12,0.02,0.37,0,0,0.18,0,0.18,1.65,55.56,0.91,20,0.18,0,0.37,0.18,1.1,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Marriott,Bromley,"CF, AMF",31,0,2023-06-30,7,591,6,4.01,0,0.2,22.99,22.52,England,England,right,175,71,no,2.59,3.2,33.33,7.46,12.24,0.15,0.25,0,1.37,2.27,1.98,0,0,0,0,2.74,0.91,6,0.91,0.61,0,0,17,2.59,76.47,35.294,0,0,0,0,0,0,0,0,1.07,57.14,7.16,21.28,3.5,0.76,0.15,9.9,1.68,1.07,13.4,80.68,2.28,60,3.65,87.5,5.18,85.29,12.64,79.52,0.76,100,14.62,15.83,0.03,0.46,0,0,0.3,50,0.15,1.83,66.67,0.3,100,0.15,100,0.46,0,1.52,90,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
L. Dennis,Bromley,"AMF, CF, LAMF",30,0,2023-06-30,10,397,2,0.91,0,1.23,23.58,40.38,England,England,right,186,69,no,5.89,5.67,52,4.08,38.89,0.45,0.71,0.45,2.49,3.93,0.45,0,0,0,0,4.08,0.45,2,0.45,0.21,0,0,9,2.04,44.44,22.222,0,2.27,40,1.59,28.57,0.68,66.67,0.45,3.63,56.25,9.97,31.82,3.4,1.81,0.91,20.18,0.45,1.13,29.24,75.97,8.39,56.76,9.97,93.18,7.03,77.42,25.16,82.88,1.81,25,18.22,14.61,0.28,1.13,0,0,0.45,50,0.68,4.53,50,2.49,63.64,0.23,0,0.68,0.91,4.31,73.68,0,,0,,0,0,0,0,,,0.45,,,0.68,0,0,2.95,0,0
M. Cheek,Bromley,CF,31,0,,13,1277,2,6.37,2,2.33,25.94,42.93,England,England,right,186,81,no,4.09,2.54,66.67,11.06,43.95,0.07,0.1,0.07,2.33,3.46,1.06,1,0.07,0,0,1.97,0.14,1,0.07,0.45,1,0.07,36,2.54,41.67,5.556,0.14,0.28,0,0.07,0,0.21,0,0,1.62,52.17,5.64,38.75,4.58,0.78,0.42,10.78,2.61,1.9,16.21,68.7,4.09,53.45,3.52,86,4.72,64.18,15.51,70.91,0.49,28.57,15.47,20.75,0.16,1.41,0.07,0,0.28,25,0.56,2.04,55.17,1.48,42.86,0.35,20,1.2,0,2.33,75.76,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
M. Bloomfield,Bromley,"CF, AMF, LCMF",25,0,2023-06-30,6,221,0,0.05,0,0,39.1,31.25,England,"England, Jamaica",right,191,74,no,5.7,5.7,50,15.07,24.32,0,0,0,2.85,3.75,2.44,0,0,0,0,1.63,0,0,0,0.02,0,0,3,1.22,0,0,0,0,0,0,0,0,0,0,2.04,80,12.22,26.67,0,0,0.41,11.81,0.41,0,22.4,83.64,3.67,44.44,6.92,94.12,7.33,83.33,20.77,82.35,1.63,100,15.37,16.99,0,0,0,0,0,0,0,0.81,50,1.22,33.33,0,0,0,0,1.63,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
P. Blackett,Gateshead,CF,24,0,,13,853,4,4.54,1,1.1,18.74,26.59,England,England,,0,0,no,3.68,5.2,47.92,2.82,3.85,0.22,0.36,0,0.97,1.62,2.49,0,0,0,0,2.06,0.42,4,0.43,0.49,0,0,31,3.36,32.26,12.903,0.11,0.65,16.67,0.11,100,0.43,0,0.11,1.62,40,6.39,23.73,5.2,0.76,0.22,10.51,2.71,0.87,12.89,68.07,2.71,52,3.57,84.85,3.47,68.75,11.59,74.77,0.65,0,16.48,17.51,0.12,0.76,0.11,0,0.54,40,0.43,1.62,33.33,0.97,66.67,0.32,33.33,0.97,0.11,0.87,100,0,,0,,0,0,0,0,,,0,,,0.11,0.11,0,0,0,0
D. Whitehall,Eastleigh,CF,27,0,,10,722,4,2.5,2,0.48,25.55,34.15,England,England,right,190,71,no,5.48,2.74,54.55,12.09,32.99,0.75,1.09,0.37,3.24,4.73,1.99,3,0.37,0,0,2.12,0.5,4,0.5,0.31,0,0,22,2.74,54.55,18.182,0.25,0.37,33.33,0,0,0.37,33.33,0.12,1,37.5,5.73,32.61,3.12,0.62,0,10.1,1.62,1.5,15.33,69.11,5.61,64.44,2.12,88.24,4.49,72.22,12.84,72.82,2.12,52.94,15.47,22.75,0.06,0.37,0,0,0.12,100,0.12,2.12,64.71,1.37,36.36,0.37,66.67,1.12,0.12,2.37,73.68,0,,0,,0,0,0,0,,,0,,,0.62,0.62,60,0,0,0
C. Scott,Notts County,"CF, AMF",23,0,2024-06-30,12,653,6,4.13,0,0.97,18.19,44.7,England,England,right,178,73,no,3.58,3.58,65.38,3.86,39.29,0.28,0.54,0.14,0.96,1.88,0.83,0,0,0,0,3.17,0.83,6,0.83,0.57,1,0.14,18,2.48,66.67,33.333,0,1.38,10,0.28,0,1.1,12.5,0,2.76,45,8.13,42.37,4.41,0.41,0.55,15.99,1.52,1.65,21.64,73.89,5.38,56.41,6.2,84.44,4.96,80.56,18.88,81.75,1.38,30,16.99,21.08,0.13,1.1,0.14,0.14,0.55,25,0.41,3.17,47.83,1.52,36.36,0.69,40,1.24,0,1.79,76.92,0,,0,,0,0,0,0,,,0.14,,,0,0,0,0,0,0
M. Langstaff,Notts County,CF,25,0,2024-06-30,13,1139,16,10.74,2,1.11,15.01,28.42,England,England,right,0,0,no,2.21,2.53,50,4.5,19.3,0.08,0.15,0.24,0.87,1.69,0.79,1,0.08,0,0,3,1.26,16,1.26,0.85,3,0.24,51,4.03,58.82,31.373,0.16,0.16,0,0.08,0,0,0,0,1.34,47.06,4.5,31.58,5.69,0.47,0.32,7.03,1.26,0.4,8.69,70,2.29,41.38,2.61,87.88,1.66,80.95,8.22,72.12,0.32,50,12.07,11.61,0.09,0.63,0,0,0.24,0,0.32,0.71,44.44,0.63,25,0.24,0,0.63,0,0.87,45.45,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Wreh,Southend United,CF,26,0,,10,580,2,2.32,0,0.14,29.95,32.64,United States,United States,,0,0,no,2.79,2.48,50,6.52,16.67,0,0,0,1.55,2.26,0.93,0,0,0,0,3.26,0.31,2,0.31,0.36,1,0.16,19,2.95,26.32,10.526,0,0.47,0,0.16,0,0.31,0,0.16,4.34,53.57,15.83,36.27,3.57,0.93,0.16,5.74,0.78,1.71,14.43,70.97,3.41,59.09,3.57,86.96,3.26,76.19,13.66,73.86,0.31,50,10.69,7.28,0.02,0.62,0.16,0,0.47,33.33,0,1.4,77.78,1.71,63.64,0.31,0,1.24,0,1.4,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Dackers,Southend United,CF,19,0,,6,554,3,2.2,1,0.83,37.2,41.92,Wales,Wales,,0,0,no,6.34,4.55,71.43,16.25,47,0,0,0.32,3.09,4.42,1.62,0,0,0,0,2.11,0.49,2,0.32,0.36,0,0,15,2.44,53.33,20,0.16,0.97,33.33,0.32,50,0.65,25,0,0.97,50,7.64,17.02,3.9,0.49,0.16,12.18,2.76,0.32,20.14,65.32,4.71,51.72,4.87,86.67,6.66,58.54,17.87,69.09,1.46,44.44,17.51,22.78,0.13,0.97,0,0,0,0,0.32,2.92,50,1.79,36.36,0.16,0,1.14,0.16,3.9,70.83,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
J. Hyde,Southend United,CF,32,0,2023-05-31,7,372,1,2.09,0,0.46,21.29,34.09,England,England,right,185,77,yes,1.94,2.42,40,6.53,29.63,0.48,0.78,0,0.48,0.78,1.69,0,0,0,0,1.45,0.24,1,0.24,0.51,1,0.24,10,2.42,40,10,0,0.24,0,0.24,0,0,0,0,0.73,66.67,7.26,33.33,4.35,0.73,0,10.16,2.18,0.97,13.79,70.18,3.87,43.75,2.18,100,2.9,75,13.31,70.91,0.24,100,15.9,6.9,0.11,0.48,0,0,0.24,0,0,0.97,75,0.73,0,0.24,0,1.21,0,1.45,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Powell,Southend United,"CF, LW",26,0,2024-06-30,11,739,4,4.54,2,1.28,23.26,40.84,England,England,,0,0,no,3.65,2.68,54.55,1.95,12.5,0.12,0.19,0.12,2.07,3.15,0.12,1,0.12,0,0,7.43,0.49,4,0.49,0.55,0,0,44,5.36,34.09,9.091,0.24,3.17,26.92,1.95,25,0.97,25,0.73,7.55,62.9,16.56,41.91,6.58,2.31,0.73,14.01,0.97,1.46,19.61,77.02,2.44,60,6.7,87.27,5.97,67.35,15.95,87.02,0.61,80,14.12,10.13,0.16,1.22,0.12,0,0.12,0,0.37,0.61,100,2.19,44.44,0,0,1.1,0.73,1.58,69.23,0,,0,,0,0,0,0,,,0,,,0.49,0.12,0,0.12,1,0
J. Fawole,Maidstone United,"CF, LW, RW",24,0,,8,251,0,0.17,0,0.42,26.53,31.08,United States,United States,,183,77,no,5.02,1.79,60,6.81,42.11,0,0,0,3.94,7.17,0.36,0,0,0,0,3.23,0,0,0,0.06,0,0,3,1.08,33.33,0,0,1.08,100,0.72,100,0.36,100,0,3.23,55.56,11.47,25,2.51,2.15,0.36,5.02,1.79,1.08,13.63,81.58,1.79,80,3.23,66.67,6.1,82.35,12.55,80,0,0,17.1,0,0.15,0.36,0,0,0,0,0.36,0.72,100,1.08,100,0,0,0.36,1.08,2.15,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Alabi,Maidstone United,CF,27,0,2023-06-30,11,515,2,1.01,0,0.23,41.59,30.67,England,"England, Ghana",right,185,75,no,3.15,3.84,63.64,6.99,22.5,0.17,0.28,0,0.52,0.83,1.75,1,0.17,0,0,2.8,0.35,2,0.35,0.18,1,0.17,8,1.4,50,25,0,1.05,0,0,0,0.87,0,0,3.67,57.14,18.17,36.54,2.27,1.05,0.17,5.07,1.05,2.45,12.58,79.17,1.57,33.33,5.24,93.33,2.27,61.54,11.53,86.36,0.17,0,11.05,4.21,0.04,0.35,0.17,0,0,0,0,0.35,0,0.7,50,0,0,0.35,0.35,0.35,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Barham,Maidstone United,CF,26,0,2023-06-30,12,943,3,5.55,0,0.53,28.44,26.17,England,England,right,177,71,no,3.15,2.77,62.07,13.65,18.18,0,0,0.1,1.43,2.23,0.76,0,0,0,0,2.39,0.29,3,0.29,0.53,1,0.1,23,2.2,56.52,13.043,0,0.95,30,0.1,100,0.76,12.5,0,1.34,64.29,7.06,29.73,2.67,0.76,0.19,9.26,3.24,1.53,12.03,57.94,2.67,32.14,3.34,82.86,3.24,52.94,10.78,61.95,0.29,0,15.74,12.05,0.05,0.38,0,0,0,0,0.19,1.24,23.08,0.67,28.57,0,0,0.1,0.29,0.67,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
C. Pattison,Maidstone United,"RAMF, RW, CF",25,0,2023-06-30,13,985,1,1.57,3,2.06,25.58,38.21,England,England,,0,0,no,5.39,3.11,82.35,6.76,25.68,0.09,0.15,0.09,2.74,4.37,0.18,0,0,0,0,4.93,0.09,1,0.09,0.14,1,0.09,14,1.28,42.86,7.143,0.27,4.02,22.73,0,0,4.02,22.73,0.73,5.39,64.41,12.7,38.85,3.29,1.37,0.73,9.96,2.01,0.73,18.55,61.08,5.21,54.39,4.2,93.48,4.75,50,13.34,75.34,1.28,35.71,15.65,15.14,0.19,0.64,0,0,0,0,0.37,1.37,26.67,2.19,29.17,0.09,0,0.55,0.91,2.01,72.73,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.18,0,0
